ID;To_ID;cross_region;lower_thres;upper_thres;estimated;model
3;9;0;0;59;0;1
5;9;0;0;32;0;1
7;9;0;0;9;0;1
8;809;0;0;2;0;1
27;29;0;0;32;0;1
33;7;1;0;1;1;1
38;636;0;0;12;0;1
48;9;1;0;6.8;0;1
49;9;1;0;9.3;0;1
50;9;1;0;11.2;0;1
54;46;0;0;17.5;0;1
60;64;0;0;5.1;0;1
62;64;0;0;48;0;1
65;64;0;0;20;1;1
74;64;0;0;20;1;1
78;82;0;0;65;0;1
80;82;0;0;52;0;1
81;82;0;0;2.6;0;1
86;82;0;0;2;0;1
98;710;0;0;1.4;0;1
111;85;1;0;4.5;0;1
118;120;0;0;1;1;1
123;121;0;0.6;5;1;1
124;121;0;0;1.8;0;1
125;127;0;0.03;2.5;0;1
250;249;0;0.02;8.5;0;1
258;372;1;0;2.5;0;1
288;314;0;0;0.5;1;0
333;351;0;0;10;0;1
355;372;0;0;0.5;1;1
358;364;0;0;0.9;0;1
367;368;0;0;5;1;1
368;370;0;0;0.9;0;1
372;375;0;0;12;0;0
372;399;1;0;3;1;0
396;397;0;0;2;1;1
404;372;1;0;2;0;1
405;372;1;0;0.5;0;1
407;422;0;0;9;0;1
413;364;1;0;4;0;1
426;0;0;0;40;0;1
444;0;0;0;1;1;0
489;499;0;0;1;1;1
514;515;0;0;1;1;1
519;521;0;0;1;1;1
521;0;0;1;10;0;1
533;120;1;0;1;0;1
541;544;0;0;2;1;0
541;548;0;0;6;1;1
542;121;1;0;20;0;1
543;544;0;0;15;1;1
546;548;0;0;4;1;1
547;548;0;0;6;1;1
549;548;0;0;4;1;1
552;548;0;0;80;0;1
553;548;0;0;5;1;1
557;548;0;0;2;1;1
620;610;0;0;16;0;1
652;0;0;0;70;0;1
660;656;0;0;1;1;1
676;685;0;4;25;0;1
677;685;0;0;12;0;0
677;77;1;0;25;0;1
678;679;0;0;40;1;1
679;680;0;0;150;0;1
690;679;0;0;2;0;1
705;702;0;0;1;1;1
715;716;0;0;14;0;1
717;712;0;0;15;1;1
722;173;0;0;87;0;1
736;749;0;0;8;1;1
790;633;0;0;2;1;1
799;806;0;0;20;0;1
802;808;0;0;5.5;0;1
804;805;0;0;30;0;1
817;821;0;0;32;0;1
817;1;1;0;5;1;0
820;821;0;0;72;0;1
825;827;0;0;1;1;0
844;848;0;0;1;1;0
848;849;0;0;1;1;0
